SAMPLEMONTH,SAMPLEDAY,STARTFL,ENDFL,LENGTHRUN
12,2,91,166,L
12,3,92,167,L
12,4,92,168,L
12,5,93,169,L
12,6,94,170,L
12,7,94,171,L
12,8,95,172,L
12,9,95,174,L
12,10,96,175,L
12,11,97,176,L
12,12,97,177,L
12,13,98,178,L
12,14,99,179,L
12,15,99,181,L
12,16,100,182,L
12,17,101,183,L
12,18,101,184,L
12,19,102,185,L
12,20,103,187,L
12,21,103,188,L
12,22,104,189,L
12,23,105,190,L
12,24,105,192,L
12,25,106,193,L
12,26,107,194,L
12,27,107,195,L
12,28,108,197,L
12,29,109,198,L
12,30,110,199,L
12,31,110,201,L
1,1,111,202,L
1,2,112,203,L
1,3,112,205,L
1,4,113,206,L
1,5,114,207,L
1,6,115,209,L
1,7,115,210,L
1,8,116,211,L
1,9,117,213,L
1,10,118,214,L
1,11,119,216,L
1,12,119,217,L
1,13,120,218,L
1,14,121,220,L
1,15,122,221,L
1,16,123,223,L
1,17,123,224,L
1,18,124,226,L
1,19,125,227,L
1,20,126,229,L
1,21,127,230,L
1,22,127,232,L
1,23,128,233,L
1,24,129,235,L
1,25,130,236,L
1,26,131,238,L
1,27,132,239,L
1,28,133,241,L
1,29,133,243,L
1,30,134,244,L
1,31,135,246,L
2,1,136,247,L
2,2,137,249,L
2,3,138,251,L
2,4,139,252,L
2,5,140,254,L
2,6,141,256,L
2,7,142,257,L
2,8,143,259,L
2,9,143,261,L
2,10,144,262,L
2,11,145,264,L
2,12,146,266,L
2,13,147,268,L
2,14,148,269,L
2,15,149,270,L
2,16,150,270,L
2,17,151,270,L
2,18,152,270,L
2,19,153,270,L
2,20,154,270,L
2,21,155,270,L
2,22,156,270,L
2,23,157,270,L
2,24,158,270,L
2,25,159,270,L
2,26,160,270,L
2,27,161,270,L
2,28,163,270,L
2,29,163,270,L
3,1,164,270,L
3,2,165,270,L
3,3,166,270,L
3,4,167,270,L
3,5,168,270,L
3,6,169,270,L
3,7,170,270,L
3,8,171,270,L
3,9,172,270,L
3,10,174,270,L
3,11,175,270,L
3,12,176,270,L
3,13,177,270,L
3,14,178,270,L
3,15,179,270,L
3,16,181,270,L
3,17,182,270,L
3,18,183,270,L
3,19,184,270,L
3,20,185,270,L
3,21,187,270,L
3,22,188,270,L
3,23,189,270,L
3,24,190,270,L
3,25,192,270,L
3,26,193,270,L
3,27,194,270,L
3,28,195,270,L
3,29,197,270,L
3,30,198,270,L
3,31,199,270,L
4,1,201,270,L
4,2,202,270,L
4,3,203,270,L
4,4,205,270,L
4,5,206,270,L
4,6,207,270,L
4,7,209,270,L
4,8,210,270,L
4,9,211,270,L
4,10,213,270,L
4,11,214,270,L
4,12,216,270,L
4,13,217,270,L
4,14,218,270,L
4,15,220,270,L
4,16,221,270,L
4,17,223,270,L
4,18,224,270,L
4,19,226,270,L
4,20,227,270,L
4,21,229,270,L
4,22,230,270,L
4,23,232,270,L
4,24,233,270,L
4,25,235,270,L
4,26,236,270,L
4,27,238,270,L
4,28,239,270,L
4,29,241,270,L
4,30,243,270,L
5,1,244,270,L
5,2,246,270,L
5,3,247,270,L
5,4,249,270,L
5,5,251,270,L
5,6,252,270,L
5,7,254,270,L
5,8,256,270,L
5,9,257,270,L
